#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 394000      1.63e+00      1.41e-02      6.42e-02    6.4e-04
 395000      1.76e+00      1.87e-03      6.98e-02    6.3e-04
 396000      1.45e+00      2.61e-03      5.74e-02    6.3e-04
 397000      1.60e+00      1.94e-02      6.32e-02    6.3e-04
 398000      1.77e+00      7.86e-03      7.02e-02    6.3e-04
 399000      1.63e+00      1.12e-02      6.47e-02    6.3e-04
 400000      1.67e+00      4.63e-03      6.65e-02    6.3e-04
 401000      1.69e+00      1.29e-04      6.71e-02    6.3e-04
 402000      1.68e+00      6.27e-03      6.69e-02    6.3e-04
 403000      1.62e+00      1.05e-02      6.42e-02    6.3e-04
 404000      1.60e+00      1.34e-02      6.35e-02    6.3e-04
 405000      1.75e+00      1.45e-02      6.96e-02    6.3e-04
 406000      2.07e+00      9.20e-04      8.27e-02    6.3e-04
 407000      1.70e+00      7.25e-03      6.79e-02    6.3e-04
 408000      1.36e+00      3.91e-03      5.41e-02    6.3e-04
 409000      1.56e+00      1.51e-02      6.23e-02    6.3e-04
 410000      1.46e+00      2.68e-03      5.83e-02    6.2e-04
 411000      1.72e+00      2.13e-02      6.85e-02    6.2e-04
 412000      1.54e+00      3.42e-03      6.16e-02    6.2e-04
 413000      1.88e+00      3.47e-03      7.54e-02    6.2e-04
 414000      1.81e+00      1.48e-02      7.23e-02    6.2e-04
 415000      1.78e+00      9.93e-03      7.12e-02    6.2e-04
 416000      1.55e+00      5.75e-03      6.21e-02    6.2e-04
 417000      1.43e+00      1.02e-02      5.73e-02    6.2e-04
 418000      1.62e+00      1.71e-03      6.50e-02    6.2e-04
 419000      1.81e+00      1.71e-02      7.23e-02    6.2e-04
 420000      1.44e+00      1.31e-02      5.79e-02    6.2e-04
 421000      1.57e+00      4.58e-04      6.33e-02    6.2e-04
 422000      1.66e+00      1.64e-03      6.67e-02    6.2e-04
 423000      1.88e+00      1.38e-02      7.54e-02    6.2e-04
 424000      1.46e+00      4.99e-03      5.87e-02    6.2e-04
 425000      1.64e+00      1.86e-02      6.58e-02    6.1e-04
 426000      1.44e+00      7.15e-03      5.81e-02    6.1e-04
 427000      1.93e+00      4.22e-03      7.80e-02    6.1e-04
 428000      1.59e+00      1.88e-02      6.37e-02    6.1e-04
 429000      1.38e+00      1.52e-02      5.54e-02    6.1e-04
 430000      1.35e+00      2.29e-02      5.39e-02    6.1e-04
